company_name,job_description,job_link,job_location,job_posted,job_salary,job_title,posted_website
TRIANGLES,"Degree in Computer Science, Electrical Engineering, or related discipline required with a focus on Deep Learning, and Machine Learning.",https://www.workopolis.com/job/hEzl7jQWjVXdRKd1vruU6LES-y-8E4WsavdujZjv_mFLJHZ4Sy3uUw?q=machine+learning,"Toronto, ON",N/A,N/A,DAT A SCIENTIST,www.workopolis.com
Roboeye,"Experience in leading the development of computer vision and machine learning algorithms and applications. Lead proof-of-concept implementations, prototypes and…",https://www.workopolis.com/job/QFhzEtenruvABtzPx7ZvhOWcslU90CArfmzE3CRZgwm--IEv234NgQ?q=machine+learning,"Toronto, ON",N/A,N/A,AI Researcher (Computer vision),www.workopolis.com
Overbond,"4 - 6 years of experience in data mining, machine learning and statistical modeling. Lead data science initiatives to recommend actionable business insights…",https://www.workopolis.com/job/6RTFokJN4ebN0GOpP2AGKV6pqmwpGdncnTEoQSNwJsfmD8yREq7PhQ?q=machine+learning,"Toronto, ON",N/A,N/A,Data Scientist,www.workopolis.com
RBC,"Experience with Building and Deploying Machine Learning Algorithms. You will work with technical and business stakeholders to make data accessible, drive…",https://www.workopolis.com/job/4BApJ8JWq0DAWYoW3qIyZ5Z_QtXSY3aICHUcp7eb_ZOd5TVMdiin_A?q=machine+learning,"Toronto, ON",N/A,N/A,Director - AI Engineering,www.workopolis.com
SoundHound Inc.,"You would work on implementing Machine Learning (ML) algorithms, optimize ML training & inference code. Optimize deep learning model inference time.",https://www.workopolis.com/job/njCHtAQsY1Rs7dcOZPmP6nQ-fuAj2R9o8ymapkeX9vNuuC-AEVmiYA?q=machine+learning,"Toronto, ON",N/A,N/A,"Senior Software Engineer, Machine Learning Algorithms (C++)",www.workopolis.com
thinkCOMPASS,"Identify valuable data sources and automate collection processes. Undertake preprocessing of structured and unstructured data. Knowledge of R, SQL and Python;",https://www.workopolis.com/job/N2p1BYdh5ow2uRiGxxR1808g9_YpiRMoFHBgLS2IWHPlQlTO_Nm1DQ?q=machine+learning,"Vaughan, ON",1d,N/A,Data Scientist,www.workopolis.com
CI Investments Inc,Assist in the development of scalable cloud based machine learning production pipelines. 3-4 years' working experience using machine learning to build accurate…,https://www.workopolis.com/job/KgKR1_UqBgTJAg-E1W5wIFr_Xpwc3nAFsfpvg1x4e9uUqLkfgEGUPw?q=machine+learning,"Toronto, ON",N/A,N/A,Data Scientist,www.workopolis.com
Hopper,"Experience with data mining, machine learning, statistical modeling tools and underlying algorithms. Use machine learning and big data tools on large and…",https://www.workopolis.com/job/nVO-SxRJoeKkpyGNSGRmv1tqBs7F4UG2OiIp5QWgqVw9RLirqkxgtw?q=machine+learning,"Toronto, ON",N/A,N/A,Data Scientist - Lodging Team,www.workopolis.com
Pinterest,Hands-on experience on large scale machine learning systems (full ML stack from modelling to deployment at scale.). 3+ years of industry experience.,https://www.workopolis.com/job/L5rEkMTeOa6OZebBe-bHSEoZc9bmL4i5bYUMuJptWWm00hqPRewQPQ?q=machine+learning,"Toronto, ON",N/A,N/A,"Senior Machine Learning Engineer, Shopping Content Mining",www.workopolis.com
PwC,Analytics solutions are developed aligned to client maturity and range from descriptive to prescriptive models leveraging various methods or approaches …,https://www.workopolis.com/job/8C_p4JojOWURjCWS5CvEZYbbeOHjeQajdDA6NCQmCSkzm1nvJiifbg?q=machine+learning,"Toronto, ON",Today,N/A,"Analytics, Data Scientist, Associate",www.workopolis.com
Cerebri AI,"Understanding and worked with machine learning algorithms. Experience with Big Data, artificial intelligence, natural language processing, machine learning and…",https://www.workopolis.com/job/oEWq0_Suw8LX2vHDy-9IvxVarUnlmHskhiIlE7Q0PzZf6eWa5zeifQ?q=machine+learning,"Toronto, ON",N/A,N/A,Data Scientist,www.workopolis.com
Paytm,"We apply big data, artificial intelligence and machine learning to bring the next generation of financial products and services to the Indian, Japanese and…",https://www.workopolis.com/job/hzPCfGYxOkSRbl5moZUa_XiECEpURF7f-DhZlZeQkskmyeMi4thbwQ?q=machine+learning,"Toronto, ON",N/A,N/A,Database Administrator,www.workopolis.com
Hatch,"Working in the Global Data Science Center of Excellence, the successful candidate will develop and use Machine Learning (ML) tools and data processing pipelines…",https://www.workopolis.com/job/s9ceS5p3Jy9E0sxBpadyJHzKmaJK_1ptcPNeI8qFMfoy3ij_YDH16A?q=machine+learning,"Mississauga, ON",N/A,N/A,Data Scientist,www.workopolis.com
Hopper,"Hopper was built on the premise that the combination of big data and machine learning could make a difference. At Hopper, every dataset tells a story.",https://www.workopolis.com/job/M-ZxCH5-ywKGxtGzp7_Bj9IthKqHOg41sxXh39tGRVVI_4N5ayhZ0g?q=machine+learning,"Toronto, ON",N/A,N/A,Data Analyst,www.workopolis.com
Mattamy Homes,"Experience dealing with tools and machinery, includes machine skills – rough grading, digging hydro, gas trenching, water boxes, backhoe operation, etc.",https://www.workopolis.com/job/UuGhC8XwSgv0vHiiTGa1Y_SXq2KmzIzEZj7JdmUhaxrEFOgyxva9Vw?q=machine+learning,"Greater Toronto Area, ON",N/A,N/A,Construction Labourer,www.workopolis.com
Geneseeq Technology,"Experienced with systematically designing, training, debugging, and evaluating machine learning models such as boosting ensemble methods, neural networks and…",https://www.workopolis.com/job/jme83jetMs_iKg2BxmuaW8uqmYpQJ7hWWOLFvoOhVA-pYpE_dFI8NA?q=machine+learning,"Toronto, ON",N/A,N/A,Bioinformatics Scientist II,www.workopolis.com
sgsco,Strong theoretical understanding of machine learning algorithms. Leverage and implement state of the art technologies in Machine learning and deep learning in…,https://www.workopolis.com/job/9ldPct5TAUCbH-Mc73BxEs3AWEbjtubZX-ks_cRXi6IURt_dN1Ni7Q?q=machine+learning,"Toronto, ON",N/A,N/A,Intern - Data Science,www.workopolis.com
University Health Network,"""Transforming lives and communities through excellence in care, discovery and learning"". Its 800,000 square feet house 130 inpatient beds, 373,000 square feet…",https://www.workopolis.com/job/4INqvxxgnYg6-wfW1WIIyJh_8FZ-NoQ-ikgF11Ei5-H8D_3bzuiKNQ?q=machine+learning,"Toronto, ON",N/A,N/A,Support Partner - Ambulatory Clinics PMH,www.workopolis.com
