company_name,job_description,job_link,job_location,job_posted,job_salary,job_title,posted_website
Roboeye,"You will Lead and architect computer vision and machine learning algorithms and applications development Lead proof-of-concept implementations, prototypes and…",https://www.workopolis.com/jobsearch/viewjob/-IO1X5hlgyNdHdqpnEZjF8Liia8iPINCu-_K1H1OY_Ro57JxIKG_GQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $68,000 - $95,000 a year",AI Researcher (Computer vision),www.workopolis.com
sgsco,Data Scientist Intern– sgsco labs Profile Responsible for modeling complex business problems and discovering business insights through the use of statistical…,https://www.workopolis.com/jobsearch/viewjob/z7kj74wHWhQjtgayJsHapZMnaCmfI4M6EZAp8-N1B8t4mjP-O1Ln5w?ak=machine+learning&l=Toronto,"Toronto, ON",,,Intern - Data Science,www.workopolis.com
QuadReal,"About QuadReal Headquartered in Vancouver, Canada, QuadReal Property Group is a global real estate investment, operating and development company. QuadReal…",https://www.workopolis.com/jobsearch/viewjob/6DWzSdip758tzuJmI9eDb-tdV-onIBMbCNiIw3eTenvbivwsx8mKNg?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $61,000 - $80,000 a year","Intern, Data Scientist",www.workopolis.com
"AMZN CAN Fulfillment Svcs, ULC","· Bachelor’s degree in Computer Science, or closely related field · 10+ years of relevant science and/or engineering experience · 5+ years of people…",https://www.workopolis.com/jobsearch/viewjob/miJQxgwYWy1ke5CRU_SzeVsw_G-zP6-cupXgjRNt2npKAbxrRf9BZg?ak=machine+learning&l=Toronto,"Toronto, ON",,,"Sr, Manager, Machine Learning",www.workopolis.com
University of Toronto,Date Posted: 11/12/2020 Req ID: 1910 Faculty/Division: Faculty of Applied Science & Engineering Department: APSC: Ofc of the Dean - Faculty General Campus: St…,https://www.workopolis.com/jobsearch/viewjob/H_yweivIZaX_hPdB8WxZhGZ7iYfhqn9HhwVlJZMLgfmGGPUU_79vDQ?ak=machine+learning&l=Toronto,"Toronto, ON",12 days ago,"$8,500 a month",[Sessional Lecturer] Introduction to Reinforcement Learning - APS1080,www.workopolis.com
NVIDIA,"We are looking for Deep Learning Interns for our Simulation Technology team! Do you have a passion for computer gaming, virtual reality, computer vision, and…",https://www.workopolis.com/jobsearch/viewjob/gycJRjqUlRT0lGUsNigh_XOq0zYEjxQ_7ikvg7hCg_1J5bZVroZS8g?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $60,000 - $83,000 a year","Deep Learning Engineering Intern, Content & Technology - Fall 2021",www.workopolis.com
SickKids,FTE 1.00 Hours of Work 35.00 Dept/Program Name AI Initiative Contract Length one year Date Posted 2020-11-18 Deadline to Apply 2020-12-03 Target…,https://www.workopolis.com/jobsearch/viewjob/mVd-T-hlLSvReCL5dLWOAb5XFRgQLMw222V5DLYOPDIllntNU-0RUQ?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $81,000 - $110,000 a year",Senior Data Architect- Artificial Intelligence in Medicine for Kids,www.workopolis.com
Capgemini,Duration: 6+ months Requirements: Minimum of 3-5 years of experience as a developer in the financial industry with a strong and proven background in…,https://www.workopolis.com/jobsearch/viewjob/VmBpSZdAsCuI1n6dPVf3BPTWO3LaNfpgysrvi1QSjie0n3alsl1GYw?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $100,000 - $130,000 a year",Fixed Income E - Trading Developer,www.workopolis.com
Pinterest,"About Pinterest: Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new…",https://www.workopolis.com/jobsearch/viewjob/2XAEI2DoRkpXev50gaeBRBAJOwLNRAYyId_TZF9PIYEtOAZZ64O6rw?ak=machine+learning&l=Toronto,"Toronto, ON",,"Estimated: $89,000 - $130,000 a year","Software Engineer, Shopping Content Mining",www.workopolis.com
Loopio,"Loopio is a workplace that unleashes learning & growth opportunities for our Loopers. We provide autonomous, challenging work that allows each employee to…",https://www.workopolis.com/jobsearch/viewjob/w8zRupr6O7VuHk1-ZdLLzBoyAdHkLUUwQeQ4oULaPnXfnqIBompbyg?ak=machine+learning&l=Toronto,"Toronto, ON",10 days ago,"Estimated: $72,000 - $96,000 a year",Data Scientist,www.workopolis.com
